0.000000 0.640312 0.424264 0.360555 0.565685 0.316228 0.223607 0.500000 0.640312 0.424264
0.640312 0.000000 0.806226 0.989949 0.806226 0.412311 0.848528 1.140175 0.905539 0.223607
0.424264 0.806226 0.000000 0.608276 0.989949 0.400000 0.538516 0.608276 0.223607 0.600000
0.360555 0.989949 0.608276 0.000000 0.608276 0.670820 0.141421 0.200000 0.824621 0.781025
0.565685 0.806226 0.989949 0.608276 0.000000 0.761577 0.538516 0.806226 1.204159 0.707107
0.316228 0.412311 0.400000 0.670820 0.761577 0.000000 0.538516 0.781025 0.538516 0.200000
0.223607 0.848528 0.538516 0.141421 0.538516 0.538516 0.000000 0.316228 0.761577 0.640312
0.500000 1.140175 0.608276 0.200000 0.806226 0.781025 0.316228 0.000000 0.800000 0.921954
0.640312 0.905539 0.223607 0.824621 1.204159 0.538516 0.761577 0.800000 0.000000 0.728011
0.424264 0.223607 0.600000 0.781025 0.707107 0.200000 0.640312 0.921954 0.728011 0.000000
